,c++,java,python,mysql,mssql,oraclesql,c,csharp,javascript,ruby,bash,swift,golang,scala,html,pythonml,kotlin,rust,php,typescript,racket,erlang,elixir,dart,total
剑指 Offer 55 - I: 二叉树的深度,432,558,338,0,0,0,113,0,148,0,0,24,0,3,0,0,1,5,10,4,0,0,0,0,1724
剑指 Offer 28: 对称的二叉树,457,597,308,0,0,0,75,0,144,0,1,15,3,2,0,0,0,7,15,6,0,0,0,0,1719
剑指 Offer 15: 二进制中1的个数,486,480,368,0,0,0,134,0,166,1,1,26,3,0,0,0,0,1,4,2,0,0,0,0,1715
剑指 Offer 64: 求1+2+…+n,414,475,429,0,0,0,141,0,169,3,2,18,0,3,0,0,5,10,16,7,0,0,0,0,1704
剑指 Offer 50: 第一个只出现一次的字符,426,526,351,0,0,0,95,0,200,0,2,20,0,1,0,0,3,8,11,3,0,0,0,0,1701
剑指 Offer 48: 最长不含重复字符的子字符串,498,542,341,0,0,0,73,0,143,0,0,16,1,0,0,0,2,5,14,3,0,0,0,0,1688
剑指 Offer 59 - I: 滑动窗口的最大值,452,516,372,0,0,0,62,0,133,1,0,15,0,3,0,0,3,4,9,5,0,0,0,1,1634
剑指 Offer 35: 复杂链表的复制,477,573,291,0,0,0,17,0,136,0,2,4,2,0,0,0,0,0,1,2,0,0,0,0,1600
剑指 Offer 47: 礼物的最大价值,435,521,360,0,0,0,60,0,123,0,0,13,0,2,0,0,2,4,7,8,0,0,0,0,1585
面试题61: 扑克牌中的顺子,440,526,295,0,0,0,63,0,151,2,0,12,0,3,0,0,0,3,10,10,0,0,0,0,1585
剑指 Offer 32 - I: 从上到下打印二叉树,425,465,316,0,0,0,64,0,155,1,0,21,2,1,0,0,0,6,10,4,0,0,0,0,1580
剑指 Offer 38: 字符串的排列,478,447,402,1,0,0,48,0,141,1,1,7,3,2,0,0,2,6,5,4,1,0,0,0,1547
剑指 Offer 33: 二叉搜索树的后序遍历序列,477,477,286,0,0,0,45,0,119,1,0,14,3,4,0,0,0,1,7,8,0,0,0,0,1526
剑指 Offer 36: 二叉搜索树与双向链表,496,574,323,0,0,0,13,0,98,0,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1508
剑指 Offer 58 - I: 翻转单词顺序,451,414,350,0,0,0,58,0,168,1,0,13,0,3,0,0,4,5,13,4,0,0,0,0,1504
剑指 Offer 17: 打印从1到最大的n位数,327,464,404,0,0,0,81,0,162,1,1,19,1,2,0,0,2,2,12,2,0,0,0,0,1497
剑指 Offer 63: 股票的最大利润,389,499,333,0,0,0,59,0,128,0,1,13,0,2,0,0,2,4,8,5,0,1,0,0,1481
剑指 Offer 39: 数组中出现次数超过一半的数字,336,482,361,0,0,0,72,0,166,0,2,15,1,3,0,0,2,2,11,3,0,0,0,0,1480
剑指 Offer 52: 两个链表的第一个公共节点,387,530,304,0,0,0,89,0,115,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1477
剑指 Offer 56 - I: 数组中数字出现的次数,396,434,347,0,0,0,83,0,163,0,0,9,0,1,0,0,2,6,9,6,0,0,0,0,1470
剑指 Offer 31: 栈的压入、弹出序列,465,483,292,0,0,0,40,0,102,0,0,8,4,1,0,0,0,4,6,6,0,0,0,0,1457
剑指 Offer 34: 二叉树中和为某一值的路径,408,437,270,0,0,0,30,0,132,0,0,12,1,2,0,0,3,3,13,7,0,0,0,0,1397
剑指 Offer 20: 表示数值的字符串,413,393,374,0,0,0,35,0,133,0,1,6,1,2,0,0,0,13,6,10,2,0,0,0,1377
剑指 Offer 51: 数组中的逆序对,429,414,355,0,0,0,55,0,76,0,1,7,2,2,0,0,2,2,4,5,0,1,0,0,1377
剑指 Offer 55 - II: 平衡二叉树,376,462,257,0,0,0,68,0,121,1,2,12,0,0,0,0,0,3,7,2,0,0,0,0,1373
面试题59 - II: 队列的最大值,315,346,238,0,0,0,56,0,84,0,0,4,1,0,0,0,1,4,12,4,0,0,0,0,1371
面试题45: 把数组排成最小的数,381,386,309,0,0,0,29,0,138,1,1,9,0,1,0,0,2,5,8,6,0,0,0,0,1361
剑指 Offer 57: 和为s的两个数字,353,431,280,0,0,0,68,0,117,0,0,11,0,1,0,0,1,8,9,4,0,0,0,0,1330
剑指 Offer 16: 数值的整数次方,353,367,256,0,0,0,57,0,84,2,0,13,3,1,0,0,0,4,6,3,0,0,0,0,1187
剑指 Offer 68 - I: 二叉搜索树的最近公共祖先,330,368,230,0,0,0,44,0,63,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1043
剑指 Offer 68 - II: 二叉树的最近公共祖先,310,346,247,1,0,0,42,0,77,1,1,2,0,1,0,0,1,1,2,4,0,0,0,0,1038
剑指 Offer 62: 圆圈中最后剩下的数字,288,301,273,0,0,0,63,0,78,0,0,12,0,2,0,0,0,5,6,2,0,0,0,0,1036
剑指 Offer 56 - II: 数组中数字出现的次数 II,285,292,251,0,0,0,51,0,114,0,1,5,0,0,0,0,0,3,9,4,1,0,0,0,1026
剑指 Offer 60: n个骰子的点数,291,264,237,0,0,0,22,0,64,0,1,5,0,1,0,0,0,3,3,4,0,0,0,0,923
面试题67: 把字符串转换成整数,274,273,180,0,0,0,41,0,94,1,1,7,0,1,0,0,1,2,4,2,0,0,0,0,898
剑指 Offer 66: 构建乘积数组,242,292,203,0,0,0,22,0,76,0,0,8,0,0,0,0,0,7,4,7,0,0,0,0,878
剑指 Offer 49: 丑数,252,231,186,0,0,0,23,0,67,0,1,10,0,0,0,0,1,2,2,3,0,0,0,0,813
剑指 Offer 41: 数据流中的中位数,280,246,147,0,0,0,18,0,66,0,0,4,0,0,0,0,1,2,3,4,0,0,0,0,809
剑指 Offer 37: 序列化二叉树,269,265,203,1,0,0,24,0,67,0,0,1,0,1,0,0,1,1,1,5,1,1,1,0,804
剑指 Offer 65: 不用加减乘除做加法,226,259,129,0,0,0,34,0,59,1,0,4,1,2,0,0,3,3,5,1,0,0,0,0,774
剑指 Offer 44: 数字序列中某一位的数字,273,208,175,0,0,0,27,0,52,0,1,7,0,1,0,0,0,1,3,4,0,0,0,0,743
剑指 Offer 43: 1～n 整数中 1 出现的次数,244,242,153,0,0,0,29,0,39,0,1,6,0,0,0,0,0,5,3,1,0,0,0,0,729
剑指 Offer 14- II: 剪绳子 II,227,207,178,0,0,0,26,0,58,0,0,8,1,0,0,0,0,5,1,1,0,0,0,0,727
剑指 Offer 19: 正则表达式匹配,218,205,150,0,0,0,17,0,37,0,0,3,0,2,0,0,2,7,5,1,1,0,0,0,659
